RollNo,Aggregate,Backlogs,10th_agg,12th_agg,Workshops,Languages,Target
1000113,62.2,0,76.4,56.4,0,1,Not Placed
1000114,65.5,0,75.5,75.3,2,1,Placed
1000115,71.6,0,90.4,80.0,0,1,Not Placed
1000116,72.2,1,82.0,69.1,1,2,Not Placed
1000117,78.6,1,94.7,91.5,1,1,Placed
1000118,49.9,0,51.5,53.2,1,1,Not Placed
1000119,74.4,0,89.1,75.0,0,2,Placed
1000120,77.9,0,86.8,86.0,0,1,Placed
1000121,53.8,0,60.0,60.0,0,2,Not Placed
1000122,64.5,1,81.5,72.0,1,1,Not Placed
1000123,78.4,0,79.8,82.3,1,3,Placed
1000124,78.7,0,92.1,81.4,1,1,Not Placed
1000125,79.6,0,91.7,85.3,0,2,Placed
1000126,71.5,0,82.9,74.2,2,1,Placed
1000127,82.6,1,85.4,94.0,1,1,Placed
1000128,89.4,0,98.0,98.0,1,1,Placed
1000129,75.4,0,87.0,80.6,2,5,Placed
1000130,65.8,0,80.8,75.4,5,2,Placed
1000131,75.8,0,79.4,84.7,0,1,Placed
1000132,60.0,1,64.1,55.3,1,1,Not Placed
1000133,57.5,0,64.7,58.4,3,4,Not Placed
1000134,86.0,0,98.0,87.8,0,1,Placed
1000135,65.6,0,80.7,67.8,1,1,Not Placed
1000136,63.5,0,68.0,76.3,0,3,Not Placed
1000137,93.6,1,98.0,98.0,1,1,Placed
1000138,51.0,0,52.7,55.9,0,1,Not Placed
1000139,93.5,1,98.0,98.0,0,2,Placed
1000140,87.9,0,90.2,95.8,2,2,Placed
1000141,67.7,0,79.8,75.2,1,2,Not Placed
1000142,64.2,0,74.6,68.4,0,2,Not Placed
1000143,73.8,0,81.9,85.2,0,1,Placed
1000144,72.3,0,80.7,80.5,2,1,Placed
1000145,98.0,0,98.0,98.0,1,4,Placed
1000146,74.1,1,84.1,84.5,0,2,Not Placed
1000147,59.7,0,64.9,66.6,2,1,Placed
1000148,70.4,0,68.3,72.7,0,5,Placed
1000149,94.6,0,98.0,97.1,1,1,Placed
1000150,85.5,0,98.0,93.7,0,2,Placed
1000151,70.8,0,78.6,77.0,3,1,Placed
1000152,72.9,0,79.7,77.5,5,1,Not Placed
1000153,85.4,0,96.3,92.6,2,2,Placed
1000154,87.0,0,97.4,88.6,0,1,Placed
1000155,93.6,0,98.0,95.3,0,1,Placed
1000156,69.9,0,74.5,67.0,1,3,Not Placed
1000157,81.1,1,84.3,85.9,0,5,Placed
1000158,98.0,0,98.0,98.0,0,1,Placed
1000159,72.3,0,75.3,75.9,1,2,Placed
1000160,66.1,1,71.9,78.1,0,4,Placed
1000161,83.1,0,94.6,90.1,1,2,Placed
1000162,73.4,0,86.1,88.8,1,2,Placed
1000163,63.7,1,68.5,66.3,3,1,Not Placed
1000164,59.6,0,65.0,64.5,1,2,Not Placed
1000165,97.7,0,98.0,98.0,0,2,Placed
1000166,85.1,0,92.5,87.7,0,1,Not Placed
1000167,90.9,1,98.0,98.0,0,2,Placed
1000168,52.4,0,57.5,64.8,1,1,Not Placed
1000169,88.6,0,93.8,90.2,5,1,Placed
1000170,52.2,0,59.9,61.1,0,2,Not Placed
1000171,45.0,0,50.0,55.8,2,1,Not Placed
1000172,53.3,1,60.0,58.7,0,3,Not Placed
1000173,56.6,1,72.1,65.9,0,1,Placed
1000174,82.2,0,96.3,89.1,1,3,Placed
1000175,77.2,1,84.8,82.0,1,4,Placed
1000176,70.4,0,73.3,75.8,0,1,Not Placed
1000177,48.0,0,60.6,54.8,0,1,Not Placed
1000178,61.5,1,71.6,72.1,0,2,Not Placed
1000179,59.5,1,64.4,74.1,3,1,Not Placed
1000180,71.6,0,89.6,77.6,0,4,Placed
1000181,84.6,0,95.8,83.9,0,2,Placed
1000182,84.1,0,90.8,97.1,3,1,Placed
1000183,77.4,0,88.4,85.9,2,1,Placed
1000184,73.4,1,76.3,73.0,0,2,Not Placed
1000185,54.7,0,59.5,53.1,0,1,Not Placed
1000186,85.1,0,98.0,95.0,1,1,Placed
1000187,68.1,0,69.2,64.9,1,1,Not Placed
1000188,80.2,0,91.0,89.0,0,4,Placed
1000189,75.4,0,79.6,79.0,0,1,Placed
1000190,83.7,0,88.6,93.2,1,1,Placed
1000191,53.2,1,63.9,53.3,0,1,Not Placed
1000192,73.9,0,77.2,78.8,2,1,Placed
1000193,78.6,0,87.2,86.3,2,3,Placed
1000194,78.0,0,79.5,76.8,2,1,Placed
1000195,63.7,0,68.3,70.1,1,1,Not Placed
1000196,78.3,0,82.6,82.4,0,2,Placed
1000197,70.4,0,75.7,68.6,1,1,Not Placed
1000198,77.0,0,81.1,90.4,1,5,Placed
1000199,65.4,1,76.2,78.5,0,1,Placed
1000200,58.8,0,63.2,64.0,0,2,Not Placed
1000201,62.8,0,72.4,71.9,1,1,Not Placed
1000202,80.3,0,98.0,81.8,1,4,Placed
1000203,71.3,0,80.2,69.3,0,1,Not Placed
1000204,87.8,0,89.7,87.3,5,4,Placed
1000205,68.2,0,87.8,75.2,0,2,Placed
1000206,78.0,0,89.0,79.1,0,4,Placed
1000207,56.0,0,58.5,50.3,1,1,Not Placed
1000208,75.0,0,83.0,80.4,0,3,Placed
1000209,70.8,0,75.5,80.8,0,1,Placed
1000210,59.6,0,74.1,70.0,0,3,Not Placed
1000211,77.7,0,92.6,85.5,0,1,Placed
1000212,67.5,1,70.6,72.8,5,1,Not Placed
1000213,78.4,0,81.7,82.6,1,1,Placed
1000214,60.4,1,70.5,64.3,0,5,Placed
1000215,89.9,0,94.8,93.4,1,1,Placed
1000216,53.6,0,66.2,50.0,0,3,Not Placed
1000217,83.2,1,85.4,79.2,2,2,Placed
1000218,71.6,0,78.8,73.9,1,1,Placed
1000219,76.7,1,84.6,84.6,0,1,Placed
1000220,57.7,0,65.5,61.8,0,1,Not Placed
1000221,92.5,0,97.2,98.0,1,1,Placed
1000222,70.9,0,83.5,79.7,1,2,Placed
1000223,75.6,0,85.9,77.2,1,2,Placed
1000224,74.8,1,80.6,73.1,0,2,Not Placed
1000225,60.3,1,74.3,68.9,0,1,Placed
1000226,79.3,0,93.8,82.7,1,2,Placed
1000227,69.0,0,73.8,78.6,5,2,Not Placed
1000228,80.9,0,91.9,84.1,3,1,Placed
1000229,61.9,0,80.2,61.4,4,1,Placed
1000230,74.5,0,81.7,83.8,2,3,Not Placed
1000231,65.0,0,71.8,78.0,2,2,Not Placed
1000232,59.5,0,70.0,66.5,2,1,Not Placed
1000233,64.2,0,73.7,77.7,1,1,Not Placed
1000234,93.7,0,98.0,98.0,0,1,Placed
1000235,80.1,1,87.0,80.8,2,1,Placed
1000236,80.6,1,95.9,91.6,1,1,Placed
1000237,64.7,1,68.8,72.9,4,1,Not Placed
1000238,66.5,0,70.4,80.2,3,2,Placed
1000239,67.2,0,67.6,78.5,2,1,Not Placed
1000240,98.0,1,98.0,98.0,1,2,Placed
1000241,96.1,0,98.0,98.0,1,1,Placed
1000242,85.4,0,90.1,90.8,0,1,Placed
1000243,89.7,0,97.3,94.1,1,2,Not Placed
1000244,74.3,0,85.2,85.4,0,1,Not Placed
1000245,79.0,0,96.4,91.7,0,1,Placed
1000246,65.7,0,77.5,72.3,0,1,Not Placed
1000247,70.2,0,80.8,72.6,0,1,Placed
1000248,74.5,0,80.6,87.8,2,1,Placed
1000249,66.5,1,78.3,77.6,4,1,Placed
1000250,60.3,1,63.8,64.2,0,2,Not Placed
1000251,76.4,0,84.3,77.7,0,1,Placed
1000252,73.2,0,75.6,81.9,0,2,Not Placed
1000253,68.6,0,68.8,71.0,1,5,Placed
1000254,58.7,0,69.5,66.0,1,1,Not Placed
1000255,71.6,1,75.9,72.5,2,1,Not Placed
1000256,68.5,0,77.2,69.3,0,1,Placed
1000257,73.0,0,83.2,82.6,0,1,Placed
1000258,63.5,0,71.8,67.6,0,2,Not Placed
1000259,88.5,0,94.1,88.7,2,1,Placed
1000260,67.7,0,78.2,77.1,1,1,Placed
1000261,71.1,0,76.9,81.8,2,5,Placed
1000262,50.0,0,59.0,64.4,2,1,Not Placed
1000263,85.0,0,95.4,85.7,2,1,Placed
1000264,68.8,0,79.2,72.1,0,3,Not Placed
1000265,67.2,1,85.5,66.8,0,3,Not Placed
1000266,78.3,0,86.3,77.9,3,1,Placed
1000267,77.1,1,91.1,95.1,1,3,Placed
1000268,62.3,0,73.3,68.2,1,1,Not Placed
1000269,87.8,0,85.2,89.8,1,3,Placed
1000270,78.5,0,82.4,82.4,0,1,Placed
1000271,67.6,0,81.7,80.2,0,3,Placed
1000272,72.5,1,81.1,71.6,1,1,Placed
1000273,86.3,0,97.2,88.9,0,2,Placed
1000274,48.8,1,57.4,56.3,3,2,Not Placed
1000275,74.2,0,84.2,77.9,1,1,Placed
1000276,51.5,0,50.0,50.0,5,1,Not Placed
1000277,82.2,1,91.8,88.1,0,3,Placed
1000278,74.4,0,83.9,74.7,2,1,Not Placed
1000279,85.0,1,94.9,98.0,0,1,Placed
1000280,49.4,0,55.9,50.0,2,1,Not Placed
1000281,59.2,0,71.9,72.7,3,1,Not Placed
1000282,80.8,1,85.6,86.2,0,3,Placed
1000283,85.9,1,98.0,93.4,3,2,Placed
1000284,50.3,0,54.8,57.8,3,1,Not Placed
1000285,88.5,0,98.0,97.2,0,1,Placed
1000286,68.9,0,64.9,74.5,2,1,Not Placed
1000287,78.6,1,82.9,77.0,0,1,Placed
1000288,69.4,1,67.0,66.8,0,1,Placed
1000289,81.1,1,87.6,82.4,2,2,Placed
1000290,76.5,0,83.6,82.6,0,1,Placed
1000291,63.0,0,80.5,67.7,5,1,Not Placed
1000292,55.5,0,54.2,61.8,1,1,Not Placed
1000293,78.1,0,83.7,83.8,0,1,Placed
1000294,63.5,0,73.2,57.7,0,1,Not Placed
1000295,63.4,1,70.2,65.1,4,2,Not Placed
1000296,86.1,1,85.4,94.7,1,3,Placed
1000297,74.8,1,77.1,80.3,0,1,Not Placed
1000298,98.0,1,98.0,98.0,0,2,Placed
1000299,59.7,0,64.4,73.5,1,1,Not Placed
1000300,68.8,0,84.0,75.3,3,1,Placed
1000301,75.1,0,89.6,71.8,1,2,Placed
1000302,69.0,1,70.9,72.4,0,1,Not Placed
1000303,81.4,0,86.5,85.3,0,1,Placed
1000304,52.5,1,66.8,57.3,1,1,Not Placed
1000305,75.4,1,86.1,80.4,0,1,Placed
1000306,58.8,1,65.0,62.5,0,3,Not Placed
1000307,91.2,0,98.0,94.5,1,3,Not Placed
1000308,53.5,0,54.1,52.6,1,1,Not Placed
1000309,73.7,0,72.7,76.0,0,1,Placed
1000310,56.9,0,60.5,52.0,1,1,Not Placed
1000311,81.0,0,76.3,84.5,5,3,Placed
1000312,95.5,1,98.0,98.0,0,1,Placed
1000313,70.7,0,80.0,78.1,1,3,Placed
1000314,67.7,0,77.1,75.8,4,1,Placed
1000315,67.6,0,81.2,72.3,1,1,Placed
1000316,79.7,0,84.1,74.0,1,3,Not Placed
1000317,98.0,0,98.0,98.0,1,4,Placed
1000318,86.0,0,93.0,94.0,1,4,Placed
1000319,45.0,0,58.6,54.7,1,1,Not Placed
1000320,85.7,0,91.1,95.5,0,1,Placed
1000321,78.2,0,82.9,85.3,2,2,Placed
1000322,79.0,0,89.3,83.9,0,1,Placed
1000323,61.4,1,65.5,64.9,2,4,Placed
1000324,72.4,0,83.4,77.4,2,2,Placed
1000325,62.2,1,62.2,63.4,0,1,Not Placed
1000326,70.1,0,81.6,73.8,0,2,Not Placed
1000327,48.0,0,62.8,50.0,0,3,Not Placed
1000328,98.0,0,98.0,98.0,0,2,Placed
1000329,66.1,0,79.4,84.9,0,2,Placed
1000330,50.0,1,57.9,52.4,2,1,Placed
1000331,73.8,0,80.2,79.6,2,1,Placed
1000332,61.7,1,75.3,60.0,2,1,Not Placed
1000333,62.2,0,74.4,66.5,0,4,Placed
1000334,71.2,0,89.1,83.3,0,1,Not Placed
1000335,83.1,0,91.6,89.1,0,1,Placed
1000336,66.7,0,75.4,71.7,0,1,Placed
1000337,79.2,0,84.7,83.5,2,1,Placed
1000338,67.2,0,77.7,77.4,0,2,Not Placed
1000339,71.1,0,81.0,71.6,2,1,Placed
1000340,90.6,1,94.8,93.9,0,1,Placed
1000341,79.2,0,90.9,81.7,0,1,Placed
1000342,69.4,0,64.2,86.4,0,1,Not Placed
1000343,81.4,0,83.5,92.0,2,2,Placed
1000344,69.1,0,78.1,74.7,0,1,Placed
1000345,90.6,0,98.0,95.8,2,1,Placed
1000346,80.0,0,91.4,77.0,0,1,Placed
1000347,62.1,0,69.2,75.4,0,4,Not Placed
1000348,78.4,1,86.7,77.1,0,1,Placed
1000349,64.6,0,67.0,70.8,2,2,Not Placed
1000350,58.0,0,70.2,61.8,0,3,Not Placed
1000351,77.6,1,81.4,93.0,0,4,Placed
1000352,72.0,0,71.9,76.1,2,1,Placed
1000353,67.7,0,68.6,71.4,0,3,Not Placed
1000354,77.4,1,87.2,74.4,0,2,Placed
1000355,77.5,0,87.7,82.6,2,1,Placed
1000356,60.5,0,72.6,60.7,1,2,Not Placed
1000357,77.7,1,79.4,85.7,0,3,Placed
1000358,70.2,1,73.8,85.7,0,1,Not Placed
1000359,69.0,0,73.8,80.6,0,2,Not Placed
1000360,73.2,0,84.1,74.8,1,1,Placed
1000361,81.5,1,89.6,81.7,0,1,Placed
1000362,74.6,0,81.6,80.1,0,2,Placed
1000363,79.0,0,82.5,77.4,3,4,Placed
1000364,88.9,0,94.9,86.7,1,1,Placed
1000365,71.9,0,66.8,77.8,2,3,Placed
1000366,84.4,0,96.1,80.6,0,1,Placed
1000367,75.8,0,80.5,81.0,5,1,Placed
1000368,59.6,1,63.9,68.0,2,3,Not Placed
1000369,58.2,0,72.2,58.3,2,1,Not Placed
1000370,89.5,0,88.9,94.9,1,1,Placed
1000371,62.3,0,73.6,59.8,0,2,Not Placed
1000372,72.4,0,75.6,80.4,2,2,Placed
1000373,69.8,0,79.0,77.3,1,3,Placed
1000374,65.6,0,76.3,72.8,1,1,Not Placed
1000375,81.3,0,83.9,84.4,2,2,Placed
1000376,71.3,1,81.6,80.7,1,5,Placed
1000377,78.9,0,90.4,86.0,0,2,Placed
1000378,60.0,0,66.6,62.6,0,3,Not Placed
1000379,61.6,0,73.1,59.8,1,3,Not Placed
1000380,72.8,0,77.6,72.7,1,1,Placed
1000381,55.8,0,61.1,52.2,1,1,Not Placed
1000382,78.5,0,85.7,89.1,0,1,Placed
1000383,89.4,1,92.6,89.6,0,5,Placed
1000384,56.1,0,64.4,59.9,2,2,Not Placed
1000385,60.9,0,61.4,62.7,0,1,Not Placed
1000386,83.4,0,85.0,84.8,0,4,Placed
1000387,74.1,1,90.5,85.8,1,1,Placed
1000388,86.3,0,98.0,85.7,1,3,Placed
1000389,61.0,1,71.7,67.7,0,2,Not Placed
1000390,61.6,1,78.1,59.0,0,4,Not Placed
1000391,78.2,0,89.0,78.1,5,1,Placed
1000392,61.6,0,68.9,66.0,0,1,Not Placed
1000393,81.9,1,98.0,93.8,1,1,Placed
1000394,76.3,1,87.1,77.4,0,1,Placed
1000395,63.7,0,75.1,76.1,1,1,Not Placed
1000396,76.9,0,87.2,82.3,0,2,Placed
1000397,80.9,0,85.1,86.1,0,4,Placed
1000398,51.4,0,60.8,57.9,2,1,Not Placed
1000399,80.7,1,85.6,94.3,0,2,Placed
1000400,66.3,1,65.4,71.4,0,1,Not Placed
1000401,49.0,1,54.5,61.2,1,1,Not Placed
1000402,78.5,0,81.3,86.4,0,1,Placed
1000403,83.6,1,98.0,94.8,0,1,Placed
1000404,64.0,0,77.0,68.4,0,1,Not Placed
1000405,75.9,0,82.8,76.7,1,1,Placed
1000406,77.0,0,89.2,84.1,0,2,Placed
1000407,79.3,0,90.1,79.7,0,1,Placed
1000408,73.3,1,90.1,74.8,0,1,Not Placed
1000409,56.9,0,58.0,59.1,0,4,Not Placed
1000410,46.9,0,62.0,61.2,1,1,Not Placed
1000411,76.7,0,86.3,86.3,1,1,Placed
1000412,68.0,1,72.0,68.0,0,3,Placed
1000413,79.8,0,86.3,84.6,2,1,Placed
1000414,96.3,0,98.0,98.0,2,3,Placed
1000415,93.1,0,98.0,95.0,0,1,Placed
1000416,70.9,1,84.0,82.1,3,1,Placed
1000417,66.5,0,78.8,60.3,5,1,Not Placed
1000418,69.7,0,74.4,65.3,0,1,Placed
1000419,79.4,1,84.4,73.4,1,2,Placed
1000420,69.5,1,88.0,77.5,1,1,Not Placed
1000421,80.0,0,91.5,89.0,2,1,Placed
1000422,84.9,0,98.0,87.7,3,2,Placed
1000423,66.2,0,82.7,76.6,3,2,Not Placed
1000424,70.9,0,72.8,71.7,0,1,Placed
1000425,64.2,0,72.3,73.7,0,1,Not Placed
1000426,85.9,0,91.8,87.6,1,1,Placed
1000427,82.3,0,84.4,82.8,0,2,Placed
1000428,53.7,0,64.8,61.5,2,1,Not Placed
1000429,79.5,0,82.5,74.7,0,1,Placed
1000430,68.0,0,78.5,73.5,0,3,Not Placed
1000431,68.8,0,78.5,75.4,0,2,Placed
1000432,85.9,0,89.9,85.9,0,1,Placed
1000433,69.1,0,82.5,67.5,0,1,Not Placed
1000434,88.0,1,98.0,95.0,1,2,Placed
1000435,85.1,0,93.8,90.2,2,1,Placed
1000436,55.8,0,61.0,62.6,0,5,Not Placed
1000437,46.8,0,57.9,56.2,1,1,Not Placed
1000438,86.3,0,98.0,98.0,1,2,Placed
1000439,72.0,1,86.2,85.5,0,2,Not Placed
1000440,83.4,1,93.8,96.2,2,2,Not Placed
1000441,82.2,0,77.6,85.8,0,2,Placed
1000442,73.8,0,85.6,76.5,0,1,Placed
1000443,70.2,0,72.5,78.3,2,3,Placed
1000444,61.3,0,74.2,67.5,5,1,Not Placed
1000445,81.8,1,87.3,85.9,5,3,Placed
1000446,64.0,1,71.1,68.1,0,1,Not Placed
1000447,53.4,1,61.1,60.8,0,2,Not Placed
1000448,59.8,1,64.0,61.0,1,1,Not Placed
1000449,56.4,0,62.4,56.8,2,1,Not Placed
1000450,49.0,0,56.2,52.2,1,1,Not Placed
1000451,75.6,0,83.1,71.7,0,1,Placed
1000452,57.8,0,54.2,71.9,2,3,Not Placed
1000453,81.8,0,88.4,91.0,0,1,Placed
1000454,45.0,0,50.0,54.8,0,1,Not Placed
1000455,67.6,0,74.4,71.1,4,1,Not Placed
1000456,67.8,0,89.2,74.3,0,2,Placed
1000457,53.8,0,58.9,54.6,0,1,Not Placed
1000458,76.6,0,83.6,76.0,0,2,Placed
1000459,74.6,1,88.5,80.6,2,1,Not Placed
1000460,63.8,0,68.4,64.6,0,3,Not Placed
1000461,61.4,0,66.2,68.7,0,1,Placed
1000462,81.9,1,89.8,82.3,0,3,Placed
1000463,64.0,0,69.0,71.3,1,1,Not Placed
1000464,86.1,1,92.2,91.8,1,3,Placed
1000465,46.4,0,50.0,60.1,2,1,Placed
1000466,53.4,1,59.9,55.5,1,1,Not Placed
1000467,76.0,0,81.7,87.2,2,1,Placed
1000468,81.0,0,83.5,85.2,0,1,Placed
1000469,80.0,0,84.4,88.7,0,1,Not Placed
1000470,78.1,0,87.0,91.0,0,3,Placed
1000471,83.8,0,87.4,93.6,0,4,Placed
1000472,83.9,0,97.1,85.9,0,1,Placed
1000473,69.2,0,80.4,73.3,0,1,Placed
1000474,58.9,0,68.3,64.3,0,1,Not Placed
1000475,45.0,0,55.3,57.6,3,3,Placed
1000476,60.6,0,77.3,64.3,1,1,Not Placed
1000477,79.1,1,82.9,74.7,2,1,Placed
1000478,50.2,0,59.5,59.1,0,1,Not Placed
1000479,52.5,0,59.1,61.1,1,2,Not Placed
1000480,75.2,0,89.5,79.1,0,1,Placed
1000481,82.3,0,91.2,82.8,0,1,Not Placed
1000482,90.2,1,98.0,97.3,0,1,Placed
1000483,97.0,0,98.0,98.0,0,1,Placed
1000484,67.0,1,84.5,65.0,1,1,Not Placed
1000485,79.8,0,77.0,83.2,0,2,Placed
1000486,53.8,0,50.0,56.0,2,3,Not Placed
1000487,56.4,0,66.4,60.4,0,4,Not Placed
1000488,65.9,0,74.1,65.1,1,5,Not Placed
1000489,68.3,0,75.6,69.7,0,2,Not Placed
1000490,65.0,0,74.1,59.0,2,3,Not Placed
1000491,85.7,0,91.4,89.3,0,1,Placed
1000492,65.3,0,74.4,68.4,2,1,Placed
1000493,67.8,1,76.6,77.9,0,1,Not Placed
1000494,74.7,0,86.2,87.0,1,2,Placed
1000495,65.3,0,71.8,71.6,2,1,Not Placed
1000496,48.4,0,50.8,56.7,0,1,Not Placed
1000497,66.3,0,73.2,70.9,0,1,Not Placed
1000498,70.9,0,81.0,82.4,2,4,Placed
1000499,57.9,0,66.2,61.2,1,2,Not Placed
1000500,56.5,0,67.3,50.2,0,1,Not Placed
1000501,87.1,0,90.9,91.0,0,2,Placed
1000502,66.2,1,71.1,69.3,3,4,Placed
1000503,65.9,1,64.4,77.5,0,2,Placed
1000504,63.9,1,76.9,60.2,5,1,Not Placed
1000505,89.9,0,98.0,93.6,0,1,Placed
1000506,86.5,0,93.2,88.0,2,4,Placed
1000507,63.5,0,75.7,66.6,0,1,Not Placed
1000508,71.9,0,76.6,71.7,1,1,Placed
1000509,52.4,0,57.4,59.7,0,1,Not Placed
1000510,92.4,1,96.1,96.9,1,1,Placed
1000511,67.0,0,70.0,68.2,0,1,Not Placed
1000512,78.2,0,91.1,77.7,2,1,Placed
1000513,68.0,0,80.5,82.2,3,1,Placed
1000514,56.2,0,73.1,64.8,2,1,Not Placed
1000515,49.4,0,58.5,60.8,2,1,Not Placed
1000516,80.0,0,84.3,89.5,0,2,Placed
1000517,77.4,0,89.1,91.3,0,1,Placed
